"CharacterId","SkillType","SkillLevel","DamageEventCount","DamagePercentValues","DamagePercentRawSum","FirstDamagePercent","HitCountValues","TargetCountValues","AllKeys"
"100901000G","chainSkillValues","5","8","77.4|77|77|77|77|77|77|77","616.4","77.4","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901000G","chainSkillValues","6","8","79.3|79.1|79.1|79.1|79.1|79.1|79.1|79.1","633","79.3","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901000G","chainSkillValues","7","8","81.2|81.2|81.2|81.2|81.2|81.2|81.2|81.2","649.6","81.2","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901000G","chainSkillValues","8","8","83.8|83.2|83.2|83.2|83.2|83.2|83.2|83.2","666.2","83.8","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901000G","chainSkillValues","9","8","85.7|85.3|85.3|85.3|85.3|85.3|85.3|85.3","682.8","85.7","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901000G","chainSkillValues","10","8","87.5|87.5|87.5|87.5|87.5|87.5|87.5|87.5","700","87.5","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","actionSkillValues","1","8","37.5|37.5|37.5|37.5|37.5|37.5|37.5|37.5","300","37.5","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","2","8","44.6|44.6|44.6|44.6|44.6|44.6|44.9|44.6","357.1","44.6","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","3","8","51.7|51.7|51.7|51.7|51.7|51.7|51.7|52.3","414.2","51.7","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","4","8","58.9|58.9|58.9|58.9|58.9|58.9|58.9|59","471.3","58.9","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","5","8","66|66|66|66|66|66|66|66.4","528.4","66","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","6","8","67.8|67.8|67.8|67.8|67.8|67.8|67.8|68","542.6","67.8","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","7","8","69.6|69.6|69.6|69.6|69.6|69.6|69.6|69.6","556.8","69.6","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","8","8","71.3|71.3|71.3|71.3|71.3|71.3|71.3|71.9","571","71.3","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","9","8","73.1|73.1|73.1|73.1|73.1|73.1|73.1|73.5","585.2","73.1","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","actionSkillValues","10","8","75|75|75|75|75|75|75|75","600","75","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT"
"100901001G","chainSkillValues","1","8","44.1|43.7|43.7|43.7|43.7|43.7|43.7|43.7","350","44.1","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","2","8","52.6|52|52|52|52|52|52|52","416.6","52.6","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","3","8","60.4|60.4|60.4|60.4|60.4|60.4|60.4|60.4","483.2","60.4","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","4","8","68.9|68.7|68.7|68.7|68.7|68.7|68.7|68.7","549.8","68.9","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","5","8","77.4|77|77|77|77|77|77|77","616.4","77.4","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","6","8","79.3|79.1|79.1|79.1|79.1|79.1|79.1|79.1","633","79.3","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","7","8","81.2|81.2|81.2|81.2|81.2|81.2|81.2|81.2","649.6","81.2","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","8","8","83.8|83.2|83.2|83.2|83.2|83.2|83.2|83.2","666.2","83.8","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","9","8","85.7|85.3|85.3|85.3|85.3|85.3|85.3|85.3","682.8","85.7","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"100901001G","chainSkillValues","10","8","87.5|87.5|87.5|87.5|87.5|87.5|87.5|87.5","700","87.5","1|1|1|1|1|1|1|1","1|1|1|1|1|1|1|1","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH|TARGET_COUNT|ZEAL.SKILL_CHARGE.CHARGE_VALUE"
"101001000G","actionSkillValues","1","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","2","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","3","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","4","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","5","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","6","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","7","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","8","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","9","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","actionSkillValues","10","0","","0","","","","PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|PRJCTL.LAND.ABNORMAL.DURATION|PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|PRJCTL.LAND.DAMAGE.HIT_COUNT|PRJCTL.LAND.KNOCKBACK.STRENGTH|PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","1","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","2","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","3","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","4","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","5","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","6","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","7","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","8","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","9","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101001000G","chainSkillValues","10","0","","0","","","1","CRITICALUP.DURATION|CRITICALUP.FIXED_PERCENT|CRITICALUP.TARGET_COUNT|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTFAILED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTFAILED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTFAILED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTFAILED.PRJCTL.THROW_COUNT|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.APPLY_PROBABILITY|IMPACTSUCCEED.PRJCTL.LAND.ABNORMAL.DURATION|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_FIRST_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.DAMAGE_PERCENT|IMPACTSUCCEED.PRJCTL.LAND.DAMAGE.HIT_COUNT|IMPACTSUCCEED.PRJCTL.LAND.KNOCKBACK.STRENGTH|IMPACTSUCCEED.PRJCTL.THROW_COUNT"
"101101000G","actionSkillValues","1","9","4.6|4.6|4.6|4.6|4.6|4.6|4.6|4.6|38.2","75","4.6","1|1|1|1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"101101000G","actionSkillValues","2","9","5.5|5.5|5.5|5.5|5.5|5.5|5.5|5.5|45.2","89.2","5.5","1|1|1|1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
"101101000G","actionSkillValues","3","9","6.4|6.4|6.4|6.4|6.4|6.4|6.4|6.4|52.2","103.4","6.4","1|1|1|1|1|1|1|1|1","","DAMAGE.DAMAGE_FIRST_PERCENT|DAMAGE.DAMAGE_PERCENT|DAMAGE.HIT_COUNT|KNOCKBACK.STRENGTH"
